공원,섹터,대표제목,보도건수,언론사수,언론사목록,최초보도일,최종보도일,대표링크
소백산,자원보전,국립공원공단 소백산에 여우 28마리 추가 방사··· 현재 110마리 서식,9,8,MBN 홈페이지 · sportalkorea.com · v.daum.net · 뉴스1 · 소년한국일보 · 안동인터넷뉴스 · 의학신문 · 한겨레,2026-08-06,2026-08-10,https://news.google.com/rss/articles/CBMibEFVX3lxTE9FZ2psTFR2SmJQVzlvdUdULXB1Qm02ZEZmeXVKejJXNmNkS2F6czlmUzlpTnMzMnJiaVdfcklhdU8tRzQ2b1dnV1dkMWoxQ2k4cmVqNzJEMFVrSktTNGVOWnhGSE9fcXpteG92TdIBcEFVX3lxTE83RFNrbURyZEp1YjZQbU9mQUY5ZTRPTVRabEdFd1hISF9JVm1kX0pKVXVQMzFHTjZqNk9DRVRYcFQzOHEwSGZXWmhZZW42NVc4UEQ3MVJ1WGxXYkJZaUVmdElDa1kyRjYzWks1OUE2MDk?oc=5
팔공산,자원보전,대구 도심에 팔공산을 심다…미션형 생태관광 '팔.도심',8,8,BBS불교방송 · v.daum.net · 네이트 · 뉴시스 · 세계일보 · 연합뉴스 · 이로운넷 · 한국경제,2024-04-17,2026-08-11,https://news.google.com/rss/articles/CBMiYEFVX3lxTE91ODBocjZ5SGxUUlhlZF90UEEyQzEwZUc1bGxsaTV3dmppWnpnQ1dYUzdSOEQ3WXFxTFc2d0YxLUVGWTZYSWlOZC1kUklORjR1QVJuRWNzSVBmQ0Z3UGVONdIBeEFVX3lxTE9JRnFfdzhMM2xoMC1uOXQ3TkJENjEwSHc0VjhKcE0zYzdIM2dmOHRhUDR2bVl1cldaUndLem0ybjFJWm9UY2YzZHpPMHJEeVNHRVc0Zk84QWpuSTZjdjZhTXA2SE1xZkxHZjhMQ3gzRmJtOEdWLWJ5RQ?oc=5
한려해상,자원보전,"국립공원, 지역 생태관광 확대…“주왕산 절골계곡·한려해상 섬으로 오세요”",8,8,dt.co.kr · 경남일보 · 뉴스데일리 · 더브리프뉴스 · 디스커버리뉴스(DISCOVERYNEWS) · 전자신문 · 한국시사경제 · 환경방송,2026-06-21,2026-06-21,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9TVldHbG1rakp3eXJkdi1yZHpDUjM0LXplMnNsUzMwX0hrX2p3NFhEbkhoRW1lS0lScmI2eFVldmpJaDVxT29IamJRamJJUQ?oc=5
금정산,자원보전,금정산국립공원 마스코트 깃대종에 가는동자꽃과 고리도롱뇽,11,7,v.daum.net · 경향신문 · 국제신문 · 뉴시스 · 부산일보 · 소년한국일보 · 연합뉴스,2025-12-17,2026-04-23,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9MSUJ5eEF5UEF0Q1dMUVE2SWRfek9fMjBUU25GZDBQQmt1RklobFNLTkdrMDdVdG1KR2c2QTRIRmQzMzNVVTlmS3ZOXzVhSURySVkwbjJiQUpIU03SAWBBVV95cUxPT1gyUk01U3F3VW9pdzNnSXBuVTFSQkFVTFdjb0ZURzFCckZ2NVEtQjVtYm85X0xHVFJaLW9SdTk5X0k2b1lhUTlFTUN4YnRDazhWUFJrY25qbThtR3dNTkw?oc=5
금정산,기타,"부산 동래구, 금정산 국립공원 연계 지역 경제 활성화 위해 현장 속으로",8,7,gukjenews.com · 국제신문 · 뉴스핌 · 에너지경제신문 · 여행레저신문 · 연합뉴스 · 한국방송뉴스,2025-12-01,2026-08-11,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5nMEhaVTZESkw1a0pxb0Q4YkJwTmRaOXBLZkdmalRJamVIQ1hBcDFtdWxUQ0dtak9yekZpaDdMeXVHSTF0cjN3ZWFFbEVWRU1wTTNPaGNJRVRRdjQ?oc=5
경주,탐방시설,"걷기쉽고 안전하게, 경주국립공원 남산 열암곡 탐방로 안전시설 조성",8,7,BBS불교방송 · GBN 경북방송 · hidomin.com · v.daum.net · 경주신문 · 뉴시스 · 연합뉴스,2026-08-03,2026-08-07,https://news.google.com/rss/articles/CBMiTEFVX3lxTE10dGlxRVZ4QllHelhwNy1admkzRVBvOXoyanAyUFhhRW9rZ29OQXktQnVLeE9qYXU1NTBlTWptTW5LV01yMEgyMjFTYk0?oc=5
경주,기타,"경주국립공원사무소, 경주 명산 오악잇기 스탬프 투어 실시",8,7,경북신문 · 경주신문 · 경주포커스 · 네이트 · 뉴시스 · 대경일보 · 신아일보,2025-08-26,2026-06-22,https://news.google.com/rss/articles/CBMiWEFVX3lxTE5BVEFKUXJVWG9aQkhQQkxFblFvMjFZR3VoUHdCd0lPQ2p1NDZQakJXSHNTU2t6MnNfVlRDWVE2TGRDU05xdmotcnZSSHJSdHVnOFJFTERDLUQ?oc=5
태백산,기타,"태백시, ‘2026 태백산 철쭉 전국 등반대회’ 개최",7,7,LG헬로비전 · 강릉뉴스 · 강원일보 · 영등포신문 · 일간투데이 · 푸른한국닷컴 · 한국미디어뉴스,2026-01-05,2026-05-21,https://news.google.com/rss/articles/CBMibkFVX3lxTFBMV2ZEQnRwd1pRRm81THBlT2lVZi1QbVJLdDdYRTBiLTFxUDdXUUN0MTU3WU1NaTVWX3lXZExONlVNYUlyUFZVa0JiSlBNLXc4XzZfcHZrTDg1ZHExZF9TekFHbzBhc0NJbGRyUHJ30gFyQVVfeXFMT2RKekpSR2dHOHJraWk0RWJ6SENia2tRcVpfa1d5QWxnZmlDWmh4aDd0WlhNNHdQXzgwZ0FVX0hSWTJGYXhFQUJzM05yTHJVdkEwdUFjQlBZbWhUZGpmVkQ1RVlkdVdOeEVsUm1yTjhOQVFB?oc=5
무등산,기타,무등산국립공원 원효계곡 일원 상가 철거,7,7,남도일보 · 뉴시스 · 머니투데이 · 서울신문 · 연합뉴스 · 헤럴드경제 · 환경일보,2026-05-12,2026-05-13,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBJYm9CTW1TbDBEdmhtaVNYOHJwbWJyck02Uk1uSHloV1pKUjBDRzR4dFFrNmsyTm5nZFFsU3gyb3BvWGxCWlNCbC1YRWFJTkJWdmxBdnlvRFFFaXVzWjFpWERMSnFyNDdS?oc=5
북한산,기타,국립공원 걷기 좋은 길 선정 북한산 '구름정원길'로 사뿐사뿐,7,6,KBS 뉴스 · v.daum.net · 대한민국 정책브리핑 · 동아일보 · 연합뉴스 · 의학신문,2026-04-30,2026-05-27,https://news.google.com/rss/articles/CBMiakFVX3lxTE9YX2w4M2xZQTlyU1ptQ01VTkV6XzN4c1JMaUQ5V2I3UGQybDdOY2U2ZzA1ZDdieU5WZGFLX0tFR3VGTFloMUJ5ekxRaXhIaTZmQnBhbkg5bW5oNXpTbVRFcjRadkJreFBXaXc?oc=5
